Name,Category,US,RU
Gameplay/Kits/RUAssault,Kits,0,1
Gameplay/Kits/RUAssault_GM,Kits,0,1
Gameplay/Kits/RUAssault_GM_XP4,Kits,0,1
Gameplay/Kits/RUAssault_XP4,Kits,0,1
Gameplay/Kits/RUAssault_XP4_SCV,Kits,0,1
Gameplay/Kits/RUEngineer,Kits,0,1
Gameplay/Kits/RUEngineer_GM,Kits,0,1
Gameplay/Kits/RUEngineer_GM_XP4,Kits,0,1
Gameplay/Kits/RUEngineer_XP4,Kits,0,1
Gameplay/Kits/RUEngineer_XP4_SCV,Kits,0,1
Gameplay/Kits/RURecon,Kits,0,1
Gameplay/Kits/RURecon_GM,Kits,0,1
Gameplay/Kits/RURecon_GM_XP4,Kits,0,1
Gameplay/Kits/RURecon_XP4,Kits,0,1
Gameplay/Kits/RURecon_XP4_SCV,Kits,0,1
Gameplay/Kits/RUSupport,Kits,0,1
Gameplay/Kits/RUSupport_GM,Kits,0,1
Gameplay/Kits/RUSupport_GM_XP4,Kits,0,1
Gameplay/Kits/RUSupport_XP4,Kits,0,1
Gameplay/Kits/RUSupport_XP4_SCV,Kits,0,1
Gameplay/Kits/USAssault,Kits,1,0
Gameplay/Kits/USAssault_GM,Kits,1,0
Gameplay/Kits/USAssault_GM_XP4,Kits,1,0
Gameplay/Kits/USAssault_XP4,Kits,1,0
Gameplay/Kits/USAssault_XP4_SCV,Kits,1,0
Gameplay/Kits/USEngineer,Kits,1,0
Gameplay/Kits/USEngineer_GM,Kits,1,0
Gameplay/Kits/USEngineer_GM_XP4,Kits,1,0
Gameplay/Kits/USEngineer_XP4,Kits,1,0
Gameplay/Kits/USEngineer_XP4_SCV,Kits,1,0
Gameplay/Kits/USRecon,Kits,1,0
Gameplay/Kits/USRecon_GM,Kits,1,0
Gameplay/Kits/USRecon_GM_XP4,Kits,1,0
Gameplay/Kits/USRecon_XP4,Kits,1,0
Gameplay/Kits/USRecon_XP4_SCV,Kits,1,0
Gameplay/Kits/USSupport,Kits,1,0
Gameplay/Kits/USSupport_GM,Kits,1,0
Gameplay/Kits/USSupport_GM_XP4,Kits,1,0
Gameplay/Kits/USSupport_XP4,Kits,1,0
Gameplay/Kits/USSupport_XP4_SCV,Kits,1,0
Weapons/A91/U_A91,Weapons,1,1
Weapons/A91/U_A91_Acog,Weapons,1,1
Weapons/A91/U_A91_Ballistic_scope,Weapons,1,1
Weapons/A91/U_A91_Bipod,Weapons,1,1
Weapons/A91/U_A91_Eotech,Weapons,1,1
Weapons/A91/U_A91_Flashlight,Weapons,1,1
Weapons/A91/U_A91_Flashsuppressor,Weapons,1,1
Weapons/A91/U_A91_Foregrip,Weapons,1,1
Weapons/A91/U_A91_HeavyBarrel,Weapons,1,1
Weapons/A91/U_A91_IRNV,Weapons,1,1
